Episode: 530, Score: 111, Last 100 mean: 104.93000030517578
Episode: 531, Score: 59, Last 100 mean: 104.33999633789062
Episode: 532, Score: 74, Last 100 mean: 104.58000183105469
Episode: 533, Score: 174, Last 100 mean: 104.94999694824219
Episode: 534, Score: 48, Last 100 mean: 104.93000030517578
Episode: 535, Score: 230, Last 100 mean: 105.56999969482422
Episode: 536, Score: 68, Last 100 mean: 104.83000183105469
Episode: 537, Score: 144, Last 100 mean: 104.91000366210938
Episode: 538, Score: 39, Last 100 mean: 104.80000305175781
Episode: 539, Score: 45, Last 100 mean: 104.19999694824219
Episode: 540, Score: 45, Last 100 mean: 102.93000030517578
Episode: 541, Score: 45, Last 100 mean: 102.66999816894531
Episode: 542, Score: 280, Last 100 mean: 104.30999755859375
Episode: 543, Score: 55, Last 100 mean: 101.76000213623047
Episode: 544, Score: 44, Last 100 mean: 101.01000213623047
Episode: 545, Score: 143, Last 100 mean: 101.83999633789062
Episode: 546, Score: 153, Last 100 mean: 102.81999969482422
Episode: 547, Score: 81, Last 100 mean: 102.0199966430664
Episode: 548, Score: 98, Last 100 mean: 101.62000274658203
Episode: 549, Score: 206, Last 100 mean: 103.2699966430664
Episode: 550, Score: 43, Last 100 mean: 103.18000030517578
Episode: 551, Score: 143, Last 100 mean: 104.16999816894531
Episode: 552, Score: 78, Last 100 mean: 104.25
Episode: 553, Score: 42, Last 100 mean: 103.88999938964844
Episode: 554, Score: 57, Last 100 mean: 103.13999938964844
Episode: 555, Score: 377, Last 100 mean: 106.26000213623047
Episode: 556, Score: 59, Last 100 mean: 105.95999908447266
Episode: 557, Score: 41, Last 100 mean: 104.9000015258789
Episode: 558, Score: 194, Last 100 mean: 106.43000030517578
Episode: 559, Score: 48, Last 100 mean: 106.43000030517578
Episode: 560, Score: 69, Last 100 mean: 102.5999984741211
Episode: 561, Score: 42, Last 100 mean: 100.3499984741211
Episode: 562, Score: 192, Last 100 mean: 101.23999786376953
Episode: 563, Score: 59, Last 100 mean: 101.33999633789062
Episode: 564, Score: 60, Last 100 mean: 101.20999908447266
Episode: 565, Score: 77, Last 100 mean: 100.9000015258789
Episode: 566, Score: 47, Last 100 mean: 100.87999725341797
Episode: 567, Score: 437, Last 100 mean: 103.06999969482422
